"Countryres","Age","Gender","Kids","Edu","WorkStatus","AnnualIncome","CurrentOccup","Timeinposyr","Timeinposmn","Communitysize","MaritalStatus","Numsons","Numdaughters","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","UCONSPRO","OTHCONSPRO","dpmean","aipmean","gpmean","swlsmean","Rank","RankChng","HDI","HDICHNG","HDICAT"
"Australia",55,"Male","Yes Kids","ma","full-time",35000,"",3,5,"","Married","0",2,4,4,4,4,4,2,1,3,2,3,3,3,4,3,3,4,2,4,1,2,4,3,4,4,4,2,4,4,4,2,2,4,3,4,3,5,4,4,3,5,4,5,4,5,4,"yes","yes",4,2.66666666666667,3.6,4.4,"2","(1)",0.939,"0.002","Very High"
"Australia",55,"Female","Yes Kids","ma","student",15000,"",2,2,"Medium-Sized","Married","0",2,3,2,2,1,1,1,1,3,3,2,1,1,3,1,2,3,3,2,1,1,2,1,2,2,2,2,1,2,2,2,3,2,2,3,3,2,2,4,1,2,4,3,5,5,3,"yes","no",1.8,1.86666666666667,2.1,4,"2","(1)",0.939,"0.002","Very High"
"Australia",37.5,"Male","No Kids","high","full-time",150000,"",6,3,"Village","Single","0",0,2,3,2,2,2,1,1,2,2,3,2,1,1,2,2,2,1,3,1,2,2,2,2,2,2,2,2,3,2,1,1,2,1,1,1,3,2,2,2,2,2,3,3,3,1,"no","no",2.2,1.73333333333333,1.85,2.4,"2","(1)",0.939,"0.002","Very High"
"Australia",28,"Male","No Kids","deg","student",15000,"",0,3,"Small Town","Married","0",0,3,3,3,2,2,2,3,4,3,4,5,5,4,3,3,3,3,3,3,3,3,1,2,5,3,3,3,3,4,3,3,3,3,3,4,2,2,3,3,4,3,4,4,3,3,"yes","yes",2.6,3.4,3,3.4,"2","(1)",0.939,"0.002","Very High"
"Australia",32.5,"Female","Yes Kids","phd","student",45000,"",4,6,"Village","Married","0",1,3,3,5,5,5,3,1,3,2,5,4,3,5,4,5,3,3,3,1,4,4,3,1,2,3,1,5,5,5,1,3,5,3,3,5,1,1,5,4,5,3,2,2,3,2,"yes","no",4.2,3.26666666666667,3.25,2.4,"2","(1)",0.939,"0.002","Very High"
"Australia",20,"Female","No Kids","ltuni","student",10000,"",2,0,"Village","Single","0",0,1,3,2,2,2,2,2,1,3,1,1,1,4,1,2,2,2,5,2,5,3,1,2,5,5,2,5,2,5,1,3,5,2,2,2,5,5,5,3,4,5,4,5,5,5,"yes","no",2,2.26666666666667,3.35,4.8,"2","(1)",0.939,"0.002","Very High"
"Australia",45,"Male","Yes Kids","deg","full-time",67500,"PHYSIOTHERAPST",13,0,"Large-City","Married","1",3,4,3,2,3,3,1,3,3,3,4,4,4,4,4,5,3,3,2,3,3,5,3,4,4,3,3,4,4,4,4,4,5,2,3,4,5,2,4,4,5,3,4,3,5,3,"yes","yes",3,3.26666666666667,3.8,3.6,"2","(1)",0.939,"0.002","Very High"
"Australia",23,"Male","No Kids","deg","student",10000,"NA",0,0,"Small Town","Single","0",0,3,4,4,4,4,1,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,2,5,1,1,1,2,5,4,4,2,1,2,3,4,3,3,4,4,2,2,2,2,1,"yes","yes",3.8,3.66666666666667,2.9,1.8,"2","(1)",0.939,"0.002","Very High"
"Australia",37.5,"Male","Yes Kids","deg","full-time",55000,"TECHNICAL",7,6,"Large-City","Married","1",1,3,2,3,1,1,1,1,2,2,3,3,3,3,2,3,2,2,1,2,2,3,1,1,2,1,2,3,3,3,1,1,4,1,2,3,2,2,3,2,3,2,2,2,4,2,"yes","yes",2,2.13333333333333,2.15,2.4,"2","(1)",0.939,"0.002","Very High"
"Australia",37.5,"Male","Yes Kids","deg","full-time",150000,"ENGINEER",9,0,"Large-City","Married","1",1,5,5,5,5,5,2,2,3,2,5,3,5,5,5,5,2,2,3,2,4,5,2,2,3,3,4,4,4,5,2,2,5,3,2,5,3,3,5,5,4,2,2,2,2,2,"yes","yes",5,3.33333333333333,3.55,2,"2","(1)",0.939,"0.002","Very High"
"Australia",45,"Female","No Kids","phd","full-time",150000,"MANAGER",1,0,"Large-City","Married","0",0,3,2,4,3,3,1,1,4,5,3,1,2,3,1,5,2,3,2,2,3,3,2,3,1,1,3,3,3,2,3,3,3,1,3,3,4,2,5,3,3,3,5,2,3,3,"yes","no",3,2.53333333333333,2.7,3.2,"2","(1)",0.939,"0.002","Very High"
"Australia",28,"Male","No Kids","deg","full-time",67500,"MARKET ANALYST",1,6,"Large-City","Single","0",0,4,4,4,4,4,1,1,2,3,5,5,4,4,5,5,3,3,2,2,3,5,4,4,4,4,3,4,4,3,2,4,4,2,4,4,4,4,4,4,4,2,3,2,2,2,"yes","yes",4,3.2,3.75,2.2,"2","(1)",0.939,"0.002","Very High"
"Australia",32.5,"Female","No Kids","ma","full-time",45000,"OFFICE",6,0,"Large-City","Single","0",0,2,2,3,1,1,1,1,3,3,1,1,1,2,2,2,3,1,2,1,1,1,1,1,3,1,2,2,2,2,1,4,2,3,3,2,2,2,3,2,3,3,2,3,4,2,"no","no",1.8,1.66666666666667,2.1,2.8,"2","(1)",0.939,"0.002","Very High"
"Australia",22,"Female","No Kids","deg","full-time",25000,"ADMINISTRATION ASSISTANT",0,5,"Large-City","Single","0",0,4,4,4,3,3,1,2,4,5,4,3,5,3,4,5,2,3,3,1,5,3,1,3,4,1,2,5,3,4,4,4,4,1,2,3,3,2,4,3,3,3,3,2,2,1,"yes","yes",3.6,3.33333333333333,2.95,2.2,"2","(1)",0.939,"0.002","Very High"
"Australia",28,"Female","No Kids","deg","part-time",67500,"MARKET ANALYST",2,0,"Large Town","Single","0",0,1,4,2,2,2,5,3,1,5,4,5,5,4,4,2,4,2,5,5,5,1,5,3,4,5,3,5,3,4,3,3,4,5,5,4,5,5,4,4,4,4,5,4,3,3,"yes","yes",2.2,3.93333333333333,3.95,3.8,"2","(1)",0.939,"0.002","Very High"
"Australia",37.5,"Male","No Kids","deg","student",10000,"NA",2,0,"Large-City","Single","0",0,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,1,4,5,5,5,5,1,5,1,1,1,1,"yes","yes",5,4.66666666666667,3.95,1.8,"2","(1)",0.939,"0.002","Very High"
"Australia",45,"Male","Yes Kids","deg","full-time",87500,"TECHNICAL",13,0,"Small City","Married","1",2,3,3,4,3,3,2,3,5,4,3,4,4,4,3,4,4,5,5,4,3,4,1,3,5,2,2,3,4,4,4,2,3,4,4,3,4,2,4,3,4,4,4,4,4,3,"yes","yes",3.2,3.8,3.25,3.8,"2","(1)",0.939,"0.002","Very High"
"Australia",24,"Female","Yes Kids","high","part-time",25000,"CUSTOMER SERVICE",6,2,"Large-City","Single","1",0,3,3,5,2,2,1,1,1,4,4,1,2,3,3,5,4,3,5,3,2,5,1,2,5,3,4,5,4,4,5,5,3,1,4,3,2,2,4,5,5,4,4,4,4,5,"yes","yes",3,2.8,3.6,4.2,"2","(1)",0.939,"0.002","Very High"
"Australia",32.5,"Male","Yes Kids","phd","full-time",67500,"TECHNICAL",3,0,"Large-City","Married","1",1,5,3,4,4,5,4,2,3,3,4,1,3,3,4,5,3,2,3,1,5,4,3,2,2,2,2,4,2,4,2,4,5,3,4,5,4,4,5,4,4,3,3,2,4,5,"yes","no",4.2,3.06666666666667,3.45,3.4,"2","(1)",0.939,"0.002","Very High"
"Australia",45,"Female","Yes Kids","ltuni","",NA,"NA",0,0,"Small City","Married","2",1,5,4,3,3,3,1,1,4,3,3,1,3,2,3,3,3,2,4,2,1,3,1,4,2,4,3,3,4,4,4,4,2,2,4,4,4,4,3,1,4,4,4,3,3,2,"no","yes",3.6,2.4,3.2,3.2,"2","(1)",0.939,"0.002","Very High"
"Australia",45,"Male","Yes Kids","deg","full-time",150000,"ENGINEER",10,0,"Large-City","Divorced","1",1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,4,2,3,4,3,3,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,3,3,2,"yes","yes",4,3.6,3.6,2.8,"2","(1)",0.939,"0.002","Very High"
"Australia",37.5,"Female","No Kids","deg","student",15000,"NA",2,0,"Medium-Sized","Single","0",0,3,4,3,3,3,1,1,3,2,3,1,3,3,2,3,3,3,4,3,3,3,3,2,2,3,3,3,3,4,3,3,4,3,3,4,3,2,3,3,3,4,3,4,5,3,"yes","yes",3.2,2.53333333333333,3,3.8,"2","(1)",0.939,"0.002","Very High"
"Australia",45,"Male","No Kids","ltuni","full-time",67500,"INTERNET & MEDIA CONSULTANT",8,0,"Large-City","Married","0",0,3,3,2,3,3,1,1,4,2,2,1,2,3,2,4,1,1,2,1,3,3,2,3,2,1,3,3,3,3,2,2,3,2,3,3,5,5,3,3,2,2,3,3,1,4,"no","no",2.8,2,2.8,2.6,"2","(1)",0.939,"0.002","Very High"
"Australia",25,"Male","No Kids","deg","student",10000,"NA",0,0,"Large-City","Single","0",0,2,1,1,1,1,1,1,5,4,4,2,5,4,5,5,1,1,1,1,1,1,1,3,2,1,4,4,1,4,5,4,5,1,1,4,4,1,2,5,5,3,4,2,4,2,"yes","yes",1.2,2.73333333333333,2.9,3,"2","(1)",0.939,"0.002","Very High"
"Australia",32.5,"Female","Yes Kids","dip","part-time",55000,"BUSINESS OWNER",5,0,"Large-City","Separated","0",1,3,2,4,2,2,3,1,3,1,3,4,3,4,3,3,2,1,3,1,4,3,1,2,1,4,3,5,3,4,1,1,4,3,2,3,5,5,3,3,3,2,2,2,2,2,"yes","yes",2.6,2.6,2.95,2,"2","(1)",0.939,"0.002","Very High"
"Australia",32.5,"Male","No Kids","ma","full-time",55000,"TECHNICAL",3,0,"Small City","Married","0",0,4,4,5,5,5,1,1,5,2,5,3,5,5,5,5,3,1,2,1,2,4,3,2,2,4,3,5,5,5,4,2,5,1,3,4,5,4,5,5,4,2,5,3,3,4,"yes","yes",4.6,3.06666666666667,3.75,3.4,"2","(1)",0.939,"0.002","Very High"
"Australia",24,"Male","No Kids","ltuni","student",10000,"NA",0,0,"Large Town","Single","0",0,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",5,4.46666666666667,5,1,"2","(1)",0.939,"0.002","Very High"
"Australia",21,"Female","No Kids","deg","student",10000,"NA",4,6,"Large-City","Single","0",0,5,5,4,4,5,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,2,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",4.6,4.8,4.75,1,"2","(1)",0.939,"0.002","Very High"
"Australia",22,"Female","No Kids","high","full-time",25000,"HOUSEKEEPING",0,6,"Large-City","Single","0",0,3,1,5,2,3,1,1,5,1,2,1,5,2,1,1,5,1,5,1,5,5,3,2,2,4,1,5,4,5,2,4,4,1,2,4,5,5,4,5,5,4,4,4,3,3,"yes","no",2.8,2.46666666666667,3.6,3.6,"2","(1)",0.939,"0.002","Very High"
"Australia",20,"Male","No Kids","ltuni","student",10000,"WEB COMMUNICATIONS",3,3,"Medium-Sized","Single","0",0,4,4,4,4,4,3,2,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,5,5,2,4,4,4,3,2,4,3,2,4,3,4,4,4,3,1,2,1,1,1,"yes","yes",4,3.6,3.55,1.2,"2","(1)",0.939,"0.002","Very High"
"Australia",37.5,"Male","No Kids","deg","full-time",67500,"MEDICAL",17,0,"Large-City","Single","0",0,4,4,5,4,4,3,2,5,4,4,3,4,4,4,4,4,4,4,3,4,4,3,5,4,3,3,4,5,4,4,4,4,3,4,4,5,5,3,5,4,1,1,1,2,2,"yes","yes",4.2,3.73333333333333,4,1.4,"2","(1)",0.939,"0.002","Very High"
"Australia",24,"Male","No Kids","ma","student",10000,"NA",0,3,"Large-City","Single","0",0,4,4,2,2,2,3,1,3,2,2,5,2,3,2,3,1,1,4,1,2,4,1,2,2,2,2,3,3,3,1,3,4,2,2,5,2,3,5,5,2,4,4,4,3,3,"yes","no",2.8,2.33333333333333,2.8,3.6,"2","(1)",0.939,"0.002","Very High"
"Australia",32.5,"Female","Yes Kids","ma","full-time",67500," VETERINARIAN",7,0,"Small City","Married","1",0,4,5,3,3,3,2,2,5,2,2,1,5,3,1,5,3,2,5,2,5,5,1,3,3,4,3,5,3,5,2,1,5,4,3,5,5,4,5,5,5,4,4,4,4,5,"yes","yes",3.6,3,3.8,4.2,"2","(1)",0.939,"0.002","Very High"
"Australia",28,"Female","No Kids","ma","full-time",150000,"MANAGEMENT CONSULTANT & ENTREPRENEUR",1,0,"Large-City","Married","0",0,3,2,1,1,1,1,1,3,3,1,1,2,3,1,3,4,2,4,2,3,4,1,1,3,1,4,3,1,3,1,2,3,2,2,4,2,1,4,3,4,5,5,3,5,5,"yes","no",1.6,2.26666666666667,2.45,4.6,"2","(1)",0.939,"0.002","Very High"
"Australia",45,"Male","Yes Kids","deg","full-time",55000,"TECHNICAL",1,9,"Large-City","Married","2",0,3,3,3,1,1,1,1,2,3,2,1,1,3,1,2,1,3,2,2,2,2,2,4,1,1,1,1,2,4,1,3,2,1,3,3,3,3,3,1,2,3,4,4,4,3,"yes","no",2.2,1.8,2.15,3.6,"2","(1)",0.939,"0.002","Very High"
"Australia",32.5,"Male","No Kids","ltuni","full-time",45000,"SERVICE CO-ORDINATOR",0,7,"Large-City","Single","0",0,4,4,4,3,3,4,5,3,5,3,4,5,4,3,4,4,5,4,4,4,5,4,4,5,4,5,4,4,4,3,4,4,4,4,3,4,4,4,4,5,1,1,2,1,3,"yes","yes",3.6,4.06666666666667,4.1,1.6,"2","(1)",0.939,"0.002","Very High"
"Australia",45,"Male","Yes Kids","ma","full-time",87500,"",0,0,"Village","Separated","2",1,2,4,3,3,3,3,2,5,1,4,3,1,2,2,2,3,3,4,1,4,4,4,5,5,5,3,5,3,5,1,5,4,4,5,4,2,4,5,5,5,1,2,3,2,3,"yes","yes",3,2.66666666666667,4.15,2.2,"2","(1)",0.939,"0.002","Very High"
"Australia",55,"Male","No Kids","lthigh","unemployed",15000,"",6,6,"Rural/Country","Divorced","0",0,3,3,2,3,3,1,1,1,2,3,2,2,3,3,3,1,1,2,1,3,4,2,2,3,2,2,4,3,4,1,2,4,1,1,3,2,3,4,3,4,2,1,1,1,1,"no","",2.8,1.93333333333333,2.7,1.2,"2","(1)",0.939,"0.002","Very High"
"Australia",28,"Female","No Kids","deg","full-time",55000,"",1,4,"8","","0",0,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,3,2,2,2,2,3,3,2,4,3,3,2,2,3,3,3,2,3,3,4,3,4,2,"yes","no",2.2,2.06666666666667,2.6,3.2,"2","(1)",0.939,"0.002","Very High"
"Australia",45,"Female","No Kids","deg","full-time",35000,"",0,9,"Medium-Sized","Single","0",0,5,3,3,3,3,1,1,5,2,2,4,2,2,2,3,2,2,1,1,1,5,4,1,2,2,3,3,3,3,3,2,3,5,4,3,4,2,5,5,5,1,3,1,2,2,"yes","yes",3.4,2.06666666666667,3.35,1.8,"2","(1)",0.939,"0.002","Very High"
"Australia",45,"Female","No Kids","ma","full-time",67500,"",2,0,"Village","Married","0",0,3,3,3,3,3,3,1,2,1,2,1,1,3,1,2,2,2,3,1,2,3,3,3,3,4,2,2,3,4,1,2,4,3,3,2,4,3,4,4,4,2,3,3,2,2,"yes","no",3,1.8,3.05,2.4,"2","(1)",0.939,"0.002","Very High"
"Australia",23,"Female","No Kids","ltuni","student",10000,"",NA,0,"Village","Single","0",0,5,5,5,5,5,1,2,2,5,5,5,5,5,5,5,5,5,5,1,5,4,3,3,5,5,5,5,5,5,5,5,5,2,4,5,4,5,5,5,5,1,1,1,1,1,"yes","yes",5,4.06666666666667,4.5,1,"2","(1)",0.939,"0.002","Very High"
"Australia",45,"Female","Yes Kids","deg","full-time",55000,"",6,0,"Medium-Sized","Divorced","1",2,3,3,2,2,2,1,1,1,3,2,1,3,2,2,3,2,1,2,2,2,4,4,1,1,2,1,4,3,4,2,3,3,2,3,2,3,4,4,2,2,1,3,2,2,2,"yes","no",2.4,1.86666666666667,2.7,2,"2","(1)",0.939,"0.002","Very High"
"Australia",32.5,"Male","No Kids","ma","full-time",35000,"",1,0,"Village","Single","0",0,5,5,5,5,5,1,3,3,3,3,3,5,5,4,5,5,3,3,3,5,5,5,3,5,5,1,5,5,5,3,5,5,3,3,1,3,3,5,5,5,1,1,1,1,1,"yes","yes",5,3.6,4,1,"2","(1)",0.939,"0.002","Very High"
"Australia",19,"Female","No Kids","high","student",10000,"",0,5,"Large Town","Single","0",0,4,3,2,1,1,1,1,3,1,1,1,1,5,1,1,4,2,4,1,1,1,1,2,3,2,2,1,3,3,2,4,1,2,2,2,2,2,3,1,2,4,4,4,3,4,"no","no",2.2,1.86666666666667,2.05,3.8,"2","(1)",0.939,"0.002","Very High"
"Australia",28,"Female","No Kids","deg","full-time",67500,"",3,0,"Village","Married","0",0,3,3,4,4,4,4,4,4,4,4,5,5,4,1,4,5,5,4,4,4,4,3,4,5,3,4,4,4,4,4,4,3,4,5,5,5,5,4,4,4,2,3,3,4,3,"yes","yes",3.6,4.06666666666667,4.1,3,"2","(1)",0.939,"0.002","Very High"
"Australia",45,"Female","No Kids","lthigh","retired",NA,"",0,6,"Village","Married","0",0,3,3,4,3,2,1,1,4,1,2,1,1,4,1,1,1,1,3,1,2,3,3,2,3,3,3,3,4,3,2,5,3,3,3,3,4,3,4,3,4,4,4,2,4,3,"yes","no",3,1.66666666666667,3.2,3.4,"2","(1)",0.939,"0.002","Very High"
"Australia",45,"Female","Yes Kids","deg","part-time",87500,"",0,6,"Medium-Sized","Single","0",2,3,2,3,3,3,2,1,2,3,3,2,2,2,2,2,3,2,3,2,4,3,3,2,3,1,4,4,3,3,2,4,3,2,4,2,3,3,4,4,3,3,2,3,3,1,"yes","no",2.8,2.33333333333333,3,2.4,"2","(1)",0.939,"0.002","Very High"
"Australia",32.5,"Female","No Kids","ma","full-time",67500,"",10,9,"Small Town","Married","0",0,4,4,4,2,2,1,1,2,2,3,1,1,2,2,2,2,2,2,2,2,4,3,2,1,3,2,2,3,4,2,2,5,4,4,3,4,2,4,4,4,4,4,4,4,4,"yes","no",3.2,1.8,3.1,4,"2","(1)",0.939,"0.002","Very High"
"Australia",45,"Male","Yes Kids","phd","part-time",250000,"",9,0,"Village","Married","5",3,1,1,2,2,1,5,5,5,5,5,1,5,5,5,4,5,5,5,5,1,1,5,5,5,1,5,1,5,1,2,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,"no","no",1.4,4.4,3.8,5,"2","(1)",0.939,"0.002","Very High"
"Australia",28,"Female","No Kids","ltuni","full-time",55000,"",2,2,"Village","Single","0",0,4,4,4,5,5,2,4,3,5,4,5,5,4,5,5,3,5,4,5,5,5,4,4,5,4,5,4,4,4,4,5,3,1,3,4,4,4,5,5,4,1,2,2,1,2,"yes","yes",4.4,4.26666666666667,4.05,1.6,"2","(1)",0.939,"0.002","Very High"
"Australia",28,"Female","No Kids","ma","full-time",55000,"",1,0,"Village","Single","0",0,2,3,3,3,3,2,3,2,4,3,5,4,3,4,4,2,4,4,3,4,4,3,2,2,2,3,4,3,4,3,3,4,2,2,4,2,2,3,4,4,3,3,3,3,2,"yes","yes",2.8,3.4,3,2.8,"2","(1)",0.939,"0.002","Very High"
"Australia",55,"Female","No Kids","deg","full-time",15000,"",6,0,"Village","Single","0",0,3,1,2,2,1,2,1,2,1,2,3,3,2,1,3,3,1,4,1,2,3,1,1,1,3,1,3,2,3,1,2,3,2,3,3,2,2,3,3,2,5,5,5,5,5,"no","no",1.8,2.06666666666667,2.2,5,"2","(1)",0.939,"0.002","Very High"
"Australia",55,"Female","Yes Kids","dip","full-time",87500,"",14,0,"Village","Single","3",1,3,2,3,2,2,1,1,4,2,2,1,1,3,1,3,4,3,4,2,2,3,4,2,4,3,3,3,3,3,2,4,3,3,2,3,4,4,4,3,2,3,3,3,4,4,"yes","no",2.4,2.26666666666667,3.1,3.4,"2","(1)",0.939,"0.002","Very High"
"Australia",19,"Male","No Kids","ltuni","student",15000,"",2,4,"Village","Single","0",0,4,3,4,3,3,1,1,2,3,2,4,5,4,3,4,3,3,4,4,5,4,3,4,5,2,2,4,4,4,2,4,4,1,4,4,4,4,5,5,5,4,4,4,3,2,"yes","yes",3.4,3.2,3.7,3.4,"2","(1)",0.939,"0.002","Very High"
"Australia",45,"Female","Yes Kids","deg","full-time",87500,"",4,0,"Village","Married","3",1,1,1,1,1,1,3,1,1,1,1,5,1,2,1,1,1,1,3,1,3,2,1,1,1,1,3,2,1,2,1,5,2,3,4,2,2,1,2,1,2,1,1,1,1,1,"no","yes",1,1.73333333333333,1.95,1,"2","(1)",0.939,"0.002","Very High"
"Australia",22,"Male","No Kids","ltuni","student",10000,"",2,0,"Village","Single","0",0,2,5,3,3,4,4,4,5,1,5,4,5,4,5,5,4,3,5,4,4,4,5,2,5,4,1,5,5,5,5,4,4,4,4,5,1,1,5,5,4,2,4,3,3,2,"yes","yes",3.4,4.13333333333333,3.9,2.8,"2","(1)",0.939,"0.002","Very High"
"Australia",28,"Male","No Kids","ltuni","part-time",15000,"",0,6,"Village","Single","0",0,5,5,5,5,5,5,3,3,4,5,5,4,5,5,5,5,5,5,4,5,5,2,5,5,5,5,5,5,3,2,1,5,4,5,5,5,5,5,5,5,1,1,1,3,1,"yes","yes",5,4.53333333333333,4.35,1.4,"2","(1)",0.939,"0.002","Very High"
"Australia",28,"Male","No Kids","deg","full-time",35000,"",2,0,"Village","Single","0",0,5,5,5,5,5,3,3,5,1,1,3,4,5,5,5,4,4,5,2,5,5,4,5,3,5,3,5,4,4,2,1,5,5,5,5,5,5,5,4,5,1,3,3,4,1,"yes","yes",5,3.66666666666667,4.25,2.4,"2","(1)",0.939,"0.002","Very High"
"Australia",28,"Male","No Kids","deg","full-time",45000,"",2,0,"Village","Separated","0",0,4,5,5,5,5,1,1,4,2,5,5,5,4,2,5,4,3,3,3,5,5,5,4,4,5,4,4,4,5,5,3,5,3,3,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",4.8,3.46666666666667,4.45,1,"2","(1)",0.939,"0.002","Very High"
"Australia",28,"Male","No Kids","deg","student",10000,"",0,0,"Village","Single","0",0,5,5,3,2,1,1,1,2,1,5,5,5,5,5,5,4,1,4,1,5,5,1,4,1,1,4,5,2,5,1,2,5,1,5,5,5,1,5,5,5,3,2,2,3,1,"yes","yes",3.2,3.33333333333333,3.4,2.2,"2","(1)",0.939,"0.002","Very High"
"Australia",55,"Male","Yes Kids","phd","full-time",55000,"",0,0,"Village","Married","1",2,3,2,3,2,1,1,1,3,4,3,1,1,3,4,3,4,2,3,1,2,2,1,2,4,3,2,3,2,3,1,5,1,1,2,3,3,1,3,2,2,2,2,3,4,4,"no","no",2.2,2.4,2.3,3,"2","(1)",0.939,"0.002","Very High"
